position,person,personID,start,end
President,Alpha Oumar Konaré,Q313239,1992-06-08,2002-06-08
President,Amadou Toumani Touré,Q170597,2002-06-08,2012-03-22
President,Amadou Sanogo,Q372679,2012-03-22,2012-04-12
President,Dioncounda Traoré,Q372780,2012-04-12,2013-09-04
President,Ibrahim Boubacar Keïta,Q324108,2013-09-04,2020-08-18
President,Bah Ndaw,Q99522144,2020-09-25,2021-05-24
President,Assimi Goïta,Q98497406,2021-05-24,
Chairman of the National Committee for the Salvation of the People,Assimi Goïta,Q98497406,2020-08-19,2020-09-25
Vice President,Seyba Traoré,Q113669238,2012-03,2012-04
Vice President,Malick Diaw,Q103868460,2020-08-19,2020-09-25
Vice President,Assimi Goïta,Q98497406,2020-09-25,2021-05-25
Prime Minister,Ibrahim Boubacar Keïta,Q324108,1994-02-04,2000-02-15
Prime Minister,Mandé Sidibé,Q2066240,2000-02-15,2002-03-18
Prime Minister,Modibo Keita,Q6889310,2002-03-18,2002-06-09
Prime Minister,Ahmed Mohamed ag Hamani,Q401392,2002-06-09,2004-04-29
Prime Minister,Ousmane Issoufi Maïga,Q434377,2004-04-29,2007-09-28
Prime Minister,Modibo Sidibé,Q445841,2007-09-28,2011-04-03
Prime Minister,Cissé Mariam Kaïdama Sidibé,Q293119,2011-04-03,2012-03-22
Prime Minister,Cheick Modibo Diarra,Q548003,2012-04-17,2012-12-11
Prime Minister,Django Sissoko,Q861710,2012-12-11,2013-09-05
Prime Minister,Oumar Tatam Ly,Q14832856,2013-09-05,2014-04-05
Prime Minister,Moussa Mara,Q3326215,2014-04-05,2015-01-09
Prime Minister,Modibo Keita,Q6889310,2015-01-09,2017-04-09
Prime Minister,Abdoulaye Idrissa Maïga,Q26845654,2017-04-10,2017-12-29
Prime Minister,Soumeylou Boubèye Maïga,Q2398472,2017-12-30,2019-04-18
Prime Minister,Boubou Cisse,Q30005153,2019-04-23,2020-08-18
Prime Minister,Moctar Ouane,Q3317754,2020-09-27,2021-05-24
Prime Minister,Choguel Kokalla Maïga,Q2964323,2021-06-07,2022-08-21
Prime Minister,Abdoulaye Maïga,Q113577661,2022-08-21,
Minister of Agriculture,Oumar Ibrahima Touré,Q3358300,2002-10,2007-10-03
Minister of Agriculture,Diallo Madeleine Bâ,Q16267917,2007-10-03,2011-04-06
Minister of Communications,Ascofaré Ouleymatou Tamboura,Q85984185,1997-09-16,2001-06-22
Minister of Defence,Sadio Gassama,Q3461134,2012-02-02,2012-03-22
Minister of Defence,Yamoussa Camara,Q3123070,2012-04-24,2014-03-05
Minister of Defence,Bah Ndaw,Q99522144,2014-05-28,2015-01-10
Minister of Education,Togola Marie Jacqueline Nana,Q100275809,2013-09-08,2015-01-10
Minister of Finance,Sanoussi Touré,Q3472369,2009-04-09,2011-04-06
Minister of Finance,Lassine Bouaré,Q3218355,2011-04-06,2012-03-22
Minister of Finance,Tiéna Coulibaly,Q3530022,2012-04-25,2013-06-22
Minister of Finance,Abdel Karim Konate,Q30004980,2013-06-22,2013-09-08
Minister of Finance,Bouaré Fily Sissoko,Q85984217,2013-09-08,2015-01
Minister of Finance,Mamadou Igor Diarra,Q56300506,2015-01,2016-01
Minister of Finance,Boubou Cisse,Q30005153,2016-01-15,2020-07-27
Minister of Finance,Abdoulaye Daffé,Q98914544,2020-07-27,2020-08-18
Minister of Finance,Alousséni Sanou,Q106580823,2020-10-05,
Minister of Foreign Affairs,Modibo Sidibé,Q445841,1997-09-16,2002-06-09
Minister of Foreign Affairs,Lassana Traoré,Q6493863,2002,2004
Minister of Foreign Affairs,Moctar Ouane,Q3317754,2004,2011
Minister of Foreign Affairs,Soumeylou Boubèye Maïga,Q2398472,2011,2012
Minister of Foreign Affairs,Sadio Lamine Sow,Q3461135,2012,2012
Minister of Foreign Affairs,Tiéman Hubert Coulibaly,Q3530016,2012,2013
Minister of Foreign Affairs,Zahabi Ould Sidi Mohamed,Q16269580,2013,2014
Minister of Foreign Affairs,Abdoulaye Diop,Q2821367,2014,2017
Minister of Foreign Affairs,Tiéman Hubert Coulibaly,Q3530016,2017-12-30,2018-09-09
Minister of Foreign Affairs,Kamissa Camara,Q56576583,2018-09-09,2019-04-23
Minister of Foreign Affairs,Tiébilé Dramé,Q775684,2019-04-23,2020-08-18
Minister of Foreign Affairs,Zeïni Moulaye,Q105106997,2020,2021
Minister of Foreign Affairs,Abdoulaye Diop,Q2821367,2021-06-11,
Minister of Health,Maïga Zeïnab Mint Youba,Q100233714,2004-05-02,2007-10-03
Minister of Health,Diallo Madeleine Bâ,Q16267917,2011-04-06,2012-03-22
Minister of Health,Soumana Makadji,Q2304068,2012-04-17,2013-09
Minister of Health,Marie Madeleine Togo,Q30005640,2015-09-24,2017-04-11
Minister of Health,Michel Sidibé,Q3310864,2019-05-06,
Minister of Human Rights,Kadidia Sangaré,Q110663397,2018,2019
Minister of Internal Security and Civil Protection,Souleymane Sidibé,Q64030556,2002-06-14,2004-05-02
Minister of Internal Security and Civil Protection,Sadio Gassama,Q3461134,2004-05-02,2012-02-02
Minister of Internal Security and Civil Protection,Tiéfing Konaté,Q3530011,2012-04-25,2013-09-05
Minister of Internal Security and Civil Protection,Salif Traoré,Q30121857,2015-09-25,
Minister of Justice,Mamadou Kassogue,Q113669743,2021-06-11,
Minister of Territorial Administration and Decentralisation,Abdoulaye Maïga,Q113577661,2021-06,
President of the National Assembly,Alioune Nouhoum Diallo,Q106466538,1992,2002
President of the National Assembly,Ibrahim Boubacar Keïta,Q324108,2002-09-16,2007-09-03
President of the National Assembly,Dioncounda Traoré,Q372780,2007-09-03,2012-04-12
President of the National Assembly,Younoussi Touré,Q1362358,2012,2013
President of the National Assembly,Issaka Sidibé,Q23023240,2014-01-22,2020-05-11
President of the National Assembly,Moussa Timbiné,Q95114007,2020-05-11,2020-08-18
Head of the Armed Forces,Gabriel Poudiougou,Q77243127,2008-06-05,
Head of the Armed Forces,Ibrahima Dahirou Dembélé,Q66360669,2012-03-28,2013-11-09
Head of the Armed Forces,Mahamane Touré,Q64772442,2013-11-22,
Head of the Armed Forces,Didier Dacko,Q24951199,2016-06-29,
Auditor-General,Samba Alhamdou Baby,Q113669582,2018-04-11,
ambassador to Russia,Tiéfing Konaté,Q3530011,2016-06,
