wanted,position,positionid,from,start,end
Q3218355,Minister of Reconciliation,Q114674142,Q98491629,2020-10-05,
Q3530022,Minister of Defence,Q98915482,Q100152366,2020-10-05,2021-05-24
Q324108,Chairman of the National Committee for the Salvation of the People,Q113669206,Q98497406,2020-08-19,2020-09-25
Q87002144,Minister of Health,Q98915776,Q3310864,2019-05-06,2020-07-27
Q114674057,Minister of Internal Security and Civil Protection,Q64029451,Q30121857,2015-09-25,2020-07-27
Q2398472,Minister of Defence,Q98915482,Q99522144,2014-05-28,2015-01-10
Q3358300,Minister of Health,Q98915776,Q2304068,2012-04-17,2013-09
Q16268960,Minister of Defence,Q98915482,Q3461134,2012-02-02,2012-03-22
Q111515161,Head of the Armed Forces,Q111515061,Q77243127,2008-06-05,
