itemLabel,positionLabel
Dr Choguel Kokalla Maïga,Prime Minister
Col Sadio Camara,Minister of Defence and War Veterans
Mahamadou Kassogué,"Minister of Justice and Human Rights, Keeper of the Seals"
Ibrahim Ikassa Maïga,"Minister of State Reconstruction, in charge of Relations with the Institutions"
Lt-Col Abdoulaye Maïga,Minister of Territorial Administration and Decentralization
Col-Maj. Daouda Aly Mohammedine,Minister of Security and Civil Protection
Col-Maj. Ismael Wagué,"Minister of Reconciliation, Peace and National Cohesion, in charge of the Peace Accord and National Reconciliation"
Madina Dembéle Sissoko,Minister of Transport and Infrastructure
Abdoulaye Diop,Minister of Foreign Affairs and International Co-operation
Alousséni Sanou,Minister of the Economy and Finance
Dedeou Sidibé Ousmane,Minister of National Education
Amadou Keïta,Minister of Higher Education and Scientific Research
Lamine Seydou Traoré,"Minister of Mining, Energy and Water"
Diéminatou Sangaré,Minister of Health and Social Development
Aoua Paul Diallo Diawara,"Minister of Labour, the Civil Service and Social Dialogue"
Moussa Ag Attaher,"Minister of Youth and Sport, in charge of Civic Education and Citizen-Building"
Alhamdou Ag Ilyene,Minister of Malians Abroad and African Integration
Modibo Keïta,Minister of Rural Development
Bakary Doumbia,"Minister of National Entrepreneurship, Employment and Professional Training"
Founè Coulibaly Wadidié,"Minister of the Promotion of Women, Children and the Family"
Mahmoud Ould Mohamed,Minister of Industry and Trade
Bréhima Kamena,"Minister of Town Planning, Housing, Properties, Land Management and Population"
Modibo Koné,"Minister of the Environment, Sanitation and Sustainable Development"
Harouna Mamadou Toureh,"Minister of Communication, the Digital Economy and Administrative Modernization"
Andogoly Guindo,"Minister of Handicrafts, Culture, the Hotel Industry and Tourism"
Mamadou Koné,"Minister of Religious Affairs, Cults and Customs"
Fatoumata Sékou Dicko,"Minister-delegate to the Prime Minister, in charge of Political and Institutional Reform"
Oumarou Diarra,"Minister-delegate to the Minister of Health and Social Development, in charge of Humanitarian Action, Solidarity, Refugees and Displaced Persons"
Youba Ba,"Minister-delegate to the Minister of Rural Development, in charge of Stockbreeding and Fisheries"
