position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q2571270,Chairperson of the African Union Commission,,African Union Commission,1,Q313239
Q99527240,Chief of Staff of the Air Force of Mali,,Mali,1,Q99522144
Q30277603,Member of the Pan-African Parliament,,African Union,1,Q110656156
Q2932400,Under-Secretary-General of the United Nations,,,1,Q3310864
Q369894,aide-de-camp,Moussa Traoré,,1,Q99522144
Q2518691,defence minister,Mali,,1,Q66360669
Q20160287,deputy commander,Malian Air Force,,1,Q98491629
Q1162163,director,Direction générale de la sécurité d'État,,1,Q2398472
Q1162163,director,Office national des anciens combattants militaires retraités et victimes de guerre,,1,Q99522144
Q3398872,government spokesperson,,,1,Q113577661
Q1255921,president,ECOWAS Parliament,organization,1,Q106466538
Q1255921,president,National Assembly,organization,1,Q106466538
Q1255921,president,National transition council (Mali),organization,1,Q103868460
Q428322,président-directeur général,,,1,Q2837082
Q428322,président-directeur général,Mali Development Bank,,1,Q98914544
Q17221,spokesperson,National committee for the salvation of the people,,1,Q98491629
Q42178,vice president,National committee for the salvation of the people,,1,Q103868460
